Membership No  Date Joined  Active  
    21977      2015-11-15   yes   
    99998      2018-6-9     yes   
    61883      2019-6-14    yes   
    73345      2016-5-2     yes   
    94190      2019-2-14    yes   
    10517      2016-6-21    yes   
    37433      2018-6-10    yes   
    51969      2017-1-20    yes   
    22242      2016-1-25    yes   
    61365      2016-3-15    yes   
    39953      2017-11-7    yes   
    48712      2020-8-7     yes   
    11558      2017-2-13    yes   
    15858      2020-2-25    yes   
    26012      2019-3-8     yes   
    71335      2016-4-11    yes   
    72971      2018-2-9     yes   
